Disease,Description
Gastritis,"Gastritis is mucosal inflammation of the stomach lining caused by H. pylori, alcohol, or NSAIDs, resulting in epigastric burning and indigestion."
Systemic Lupus Erythematosus,"Lupus is a systemic autoimmune disease where autoantibodies cause widespread tissue damage in joints, skin, kidneys, and vasculature."
Rabies,"Rabies is a fatal viral zoonotic encephalitis transmitted via animal bites, causing agitation, hydrophobia, paralysis, and altered sensorium."
Tetanus,"Tetanus is a neurological disease caused by Clostridium tetani neurotoxin, producing trismus (lockjaw), painful muscle spasms, and autonomic instability."
Sepsis,Sepsis is a life-threatening systemic organ dysfunction caused by a dysregulated host response to severe bacterial or viral infection.
Endocarditis,"Infective endocarditis is a dangerous bacterial infection of the endocardium and cardiac valves, producing fever, heart murmurs, and embolic phenomena."
Glaucoma,"Glaucoma is an optic neuropathy causing progressive peripheral visual field loss, often associated with elevated intraocular pressure."
Cataract,"Cataract is progressive opacification of the ocular lens, leading to painless reduction in visual acuity, glare, and impaired color perception."
Deep Vein Thrombosis,"Deep Vein Thrombosis is thrombus formation within deep veins of the lower extremities, causing localized edema, erythema, and leg tenderness."
Irritable Bowel Syndrome,Irritable Bowel Syndrome is a functional gastrointestinal disorder marked by recurrent abdominal pain linked to altered bowel frequency or stool form.
