Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Heart attack,call emergency medical services (108/911) immediately,chew an aspirin 300mg if not allergic while waiting,keep patient calm in a semi-upright seated position,avoid exertion or walking
Varicose veins,wear graduated compression stockings,elevate legs above heart level when resting,avoid prolonged continuous standing or sitting,engage in low-impact leg exercises like walking and swimming
Hypothyroidism,take levothyroxine hormone on an empty stomach in the morning,consume iodine and selenium adequate foods,engage in regular cardiovascular exercise,test TSH levels every 3 to 6 months
Hyperthyroidism,take antithyroid medications consistently as prescribed,"avoid excessive caffeine, stimulants, and iodine supplements",consume adequate calories to offset high metabolism,monitor heart rate and thyroid panel regularly
Hypoglycemia,consume 15-20g of fast-acting glucose (fruit juice/candy),recheck blood sugar levels after 15 minutes,eat a balanced complex carbohydrate snack once normalized,consult endocrinologist to adjust medication dosages
Osteoarthristis,engage in low-impact joint exercises like swimming,maintain a healthy body weight to reduce joint load,apply warm or cold packs to painful joints,consult an orthopedic specialist for physical therapy
Arthritis,perform gentle range-of-motion exercises daily,maintain anti-inflammatory diet rich in omega-3s,use supportive braces or walking aids if recommended,consult a rheumatologist for disease-modifying therapies
(vertigo) Paroymsal  Positional Vertigo,perform Epley maneuver under specialist guidance,avoid sudden head movements and rapid standing,sit down immediately when sensation of spinning occurs,sleep with head slightly elevated on two pillows
Acne,cleanse face gently twice daily with mild salicylic acid cleanser,avoid squeezing or picking at pimples,use non-comedogenic and oil-free skincare products,apply topical benzoyl peroxide or consult dermatologist
Urinary tract infection,drink plenty of water (at least 3 liters daily),consume unsweetened cranberry juice or urinary alkalizers,complete the full course of prescribed antibiotics,do not hold urine for extended periods
Psoriasis,apply prescribed topical moisturizers and corticosteroids,"get moderate, safe sun exposure under doctor guidance","avoid stress, alcohol, and skin injury triggers",consult a dermatologist for systemic or biologic treatments
Impetigo,clean sores gently with antibacterial soap and warm water,apply prescribed mupirocin antibiotic ointment,keep affected area covered with sterile gauze,wash hands and patient's towels separately in hot water
